FIPS,AE_latent_1,AE_latent_2,AE_latent_3,AE_latent_4
1125,1.2158732,4.3337326,4.9106183,-1.4863873
1127,0.61444205,1.8329947,2.0575964,-1.0431464
1129,0.5967833,0.9264047,1.768668,-0.88075316
1131,0.7278842,1.9878519,3.725089,-1.9064451
1133,0.9173665,1.8459892,2.1871283,-1.5658096
2013,3.989091,5.640969,14.732859,-5.2120557
2020,2.0752878,5.2665944,6.6005225,-1.7532734
2050,0.5702591,6.451952,19.9358,-7.455826
2070,2.437994,5.995962,16.4283,-5.5667634
2090,2.3092594,4.91132,6.274237,-1.6789709
2100,5.7341423,3.361165,11.995472,-3.5077057
2105,4.9118047,2.4417195,18.037216,-5.94905
2110,2.4267805,5.4778156,7.9796534,-2.550531
2122,2.901631,4.8108587,7.9822054,-1.4391958
2130,2.5013137,5.2443566,8.223201,-2.8305507
2150,3.5396862,6.102293,9.619697,-2.9880607
2158,-0.53111315,5.367995,25.220459,-10.27444
2170,1.2666876,2.6900208,4.4348793,0.061789364
2180,1.6409655,5.1533227,20.751846,-8.1249895
2185,1.1670179,5.0128746,13.927069,-5.4270515
2188,-0.8529177,6.536462,18.754248,-8.315663
2198,3.8213322,4.184953,10.434965,-3.690558
2220,2.82946,5.549912,9.139042,-3.004623
2240,3.0748873,4.7432446,8.066674,-2.4933822
2290,3.7849226,2.9918735,18.4345,-6.703235
4001,0.28292835,2.7354372,3.7658544,-1.7315637
4003,0.9585376,3.2031689,2.929202,-1.9054061
4005,1.5328172,4.54145,4.887726,-2.0608327
4007,1.2281468,3.3834307,3.6386726,-2.1260908
4009,1.309794,2.9975946,3.165638,-2.0223012
4012,2.512374,4.332076,5.2890024,-3.0918515
4013,-4.864589,11.939917,4.5623713,0.44482723
4015,1.1881446,4.3724933,3.7064428,-1.9858245
4017,0.63524556,3.1208365,3.4307137,-1.9024855
4019,-0.71090806,5.5840116,3.8184075,-1.3528863
4021,0.09117778,2.5307827,1.7103863,-0.68346035
4023,0.82724464,2.2494674,1.6635939,-2.1630077
4025,1.1894227,4.061449,4.022478,-1.4288807
4027,0.8864843,3.4397247,2.8194091,-2.2593493
5001,1.2412925,3.2213411,3.7221859,-2.9723268
5005,1.6901684,3.6882088,3.9188647,-2.2897747
5007,1.5180175,3.6602108,3.524773,-1.8382634
5009,1.3555368,3.4782243,3.848626,-2.4215505
5015,1.6406802,3.0108402,3.880439,-2.184288
5021,1.2091488,2.3386662,2.8332002,-2.3290277
5023,1.1373802,2.3714724,2.9738762,-1.6286556
5027,1.4415444,3.043051,2.857915,-1.971188
5031,1.2728002,3.637589,3.7757783,-2.4925275
5033,1.1045318,2.7614324,2.509748,-1.7939183
5035,0.7062707,3.1680036,3.8266947,-2.483086
5037,0.58694124,2.1356835,2.9387414,-2.354261
5041,0.9256617,3.0301392,5.251265,-3.1523623
5045,0.91743827,3.0750883,2.795798,-1.5070167
5047,0.9503391,2.686796,2.869555,-2.2813325
5051,1.2039789,3.5973268,3.596527,-2.1033278
5055,1.0696467,2.8202584,2.5507092,-2.1495361
5057,1.085108,3.2503183,4.0629973,-2.5523558
5059,0.56159353,1.682276,1.6730596,-1.3794422
5063,1.38045,3.404015,3.6492233,-2.5715222
5065,1.1103346,2.1913807,3.0330884,-1.5487839
5069,1.0036101,2.7045293,3.186181,-2.4284012
5083,0.9056585,2.098583,1.9387809,-1.6519841
5085,0.82102716,2.210917,2.2133868,-1.0833676
5089,1.4648721,2.5387998,2.8915997,-1.451619
5091,1.1572646,3.5532308,4.0406647,-2.5567012
5093,0.85675716,3.3390288,4.0634685,-2.9497879
5095,0.22199632,1.1225688,3.4651575,-2.5182967
5101,1.1989297,0.7663237,2.2542024,-0.83176005
5103,1.0194407,2.8237014,3.838331,-2.6418104
5107,0.41357672,3.3133934,4.938131,-3.401112
5109,1.3650784,1.3385984,2.4924903,-1.3197578
5111,0.44242072,2.3778405,3.1098032,-2.5908933
5115,1.3311789,3.4905348,3.0882125,-2.291983
5117,1.4461594,2.080479,3.819866,-1.8296267
5119,0.6337178,4.8789015,4.4651837,-2.0692904
5121,1.2704914,2.3566089,2.8679028,-2.1750054
5123,0.36999524,2.6706185,3.5677416,-2.8386517
5125,1.268367,3.0870297,3.0732741,-1.4013001
5131,1.1955435,3.7468276,3.5403998,-2.4861534
5133,1.2600915,2.4953425,2.7614906,-1.7726308
5135,1.0657986,1.9934981,2.5350862,-1.6176604
5139,1.1769037,3.5027907,3.392084,-2.4259763
5141,0.50384593,1.3911748,2.178053,-0.9697523
5143,1.2763234,4.153839,3.976713,-1.9129101
5145,1.08412,3.1302283,2.9917212,-2.123765
